title,views
"100it Racks (Ft. 2 Chainz, Drake & Future)",300341.0
You da Baddest (Ft. Nicki Minaj),297031.0
LOYAL (Ft. Drake),295691.0
Lemon [Drake Remix] (Ft. Drake),293881.0
Demons (Ft. Fivio Foreign & Sosa Geek),291977.0
Issa (Ft. Drake & Young Thug),288583.0
Oprah's Bank Account (Ft. Drake),286488.0
Ransom (Ft. Lil Wayne),284394.0
D4L,283606.0
No Guns Allowed (Ft. Cori B. & Drake),283078.0
Sh!t (Remix) (Ft. Drake & Juicy J),275049.0
To the Max (Ft. Drake),270800.0
Un-thinkable (I'm Ready) [Remix] (Ft. Drake),270489.0
Show Me a Good Time,269075.0
Marvins Room (Can't Do Better),265839.0
July (Ft. Drake),260635.0
From Florida With Love,257146.0
Behind Barz,253303.0
Little Bit (Ft. Lykke Li),249126.0
Houstatlantavegas,241087.0
Having Our Way (Ft. Drake),240724.0
Bria's Interlude (Ft. Omarion),235671.0
My Love (Ft. Drake),231556.0
The Calm,231231.0
Deep Pockets,228220.0
I'm Goin In (Ft. Jeezy & Lil Wayne),225801.0
Shot Clock,223838.0
I Get Lonely,222246.0
Landed,220491.0
HUNCHO DREAMS,220480.0
I Do It (Ft. Drake & Lil Wayne),216691.0
Views From The 6,215215.0
Not Around,213484.0
Ignant Shit (Ft. Lil Wayne),207963.0
Bigger Than You (Ft. Drake & Quavo),206061.0
FLIP THE SWITCH (Ft. Drake),204494.0
"Champion (Ft. Drake, Jeezy & Nas)",204296.0
"All of the Lights (Remix) (Ft. Big Sean, Drake & Lil Wayne)",204040.0
Made Men (Ft. Drake),195393.0
Us (Ft. Drake & Lil Reese),194106.0
Right Here (Ft. Drake),192309.0
Jungle,191604.0
Don't Run,191552.0
Sooner Than Later,190834.0
Where Were You (Ft. Colin Munroe & Dawn Richard),185578.0
Cabaret (Ft. Drake),183729.0
Mr. Wrong (Ft. Drake),176253.0
Money to Blow (Ft. Drake & Lil Wayne),176084.0
Un-Thinkable (I'm Ready),174450.0
Brand New,174429.0
Tony Montana (Ft. Drake),173983.0
B.B. King Freestyle (Ft. Drake),173755.0
Say Something (Ft. Drake),164618.0
Closer to My Dreams (Ft. Andreena Mill),160248.0
Lust for Life,158465.0
Wasting Time (Ft. Drake),157726.0
Outta Time (Ft. Drake),156988.0
Back on Road,155475.0
Ojuelegba (Remix) (Ft. Drake & Skepta),153890.0
Need Me (Lotta 42),153639.0
With You (Ft. Drake),149890.0
Still Got It (Ft. Drake),147971.0
On a Wave,147715.0
Bring It Back (Ft. Drake),142571.0
Finesse,142564.0
Still Fly Freestyle,142307.0
Pistols,142227.0
Won’t Be Late (Ft. Drake),137225.0
Good Girls Go Bad (Ft. Drake),137114.0
Freak In You (Remix) (Ft. Drake),137057.0
Never Satisfied (Ft. Drake),135803.0
Congratulations,132958.0
Big Mood,132280.0
Gonorrhea (Ft. Drake),128417.0
LOYAL (Remix) (Ft. Bad Bunny & Drake),127733.0
Round of Applause (Ft. Drake),124045.0
"Know Bout Me (Ft. Drake, James Fauntleroy & JAY-Z)",123853.0
Trophies (Remix),123561.0
Fo' Real (Ft. Drake),122852.0
Both (Remix) (Ft. Drake & Lil Wayne),122376.0
In the Cut (Ft. Roddy Ricch),122373.0
Tell Your Friends (Remix) (Ft. Drake),119923.0
Waiting Up (Ft. Drake),119033.0
Hittas,117340.0
Same Mistakes (Fall For Your Type),115930.0
Fuckin' Problem (Ft. Euro & Kidd Kidd),115304.0
Cece's Interlude,115292.0
On My Way (Ft. James Fauntleroy),115178.0
Fall for Your Type (Ft. Drake),112856.0
"You Know, You Know",108880.0
Let's Call It Off (Ft. Peter Bjorn and John),106330.0
The Life of Pablo Studio Notepad,104180.0
Over the Top (Ft. Drake),102951.0
Trust Issues,101231.0
My Chargie (Ft. Drake),99913.0
Off That (Ft. Drake),98606.0
Wildfire,96594.0
One Life,96365.0
A Night Off (Ft. Lloyd),95156.0
Days in the West,94707.0
Killer (Ft. Drake),94597.0
Best I Ever Had (Remix),94577.0
4 My Town (Play Ball) (Ft. Drake & Lil Wayne),93578.0
